n,R,n_pairs,p,mean_edges,full_time_mean,full_time_std,sample_time_mean,sample_time_std,speedup,SND_full
4,16384,6,0.1,0.35,0.002225245799999698,0.00032706847967513936,0.00016662904999993345,0.0002493628930558005,13.354488908150088,0.09599032253026962
4,16384,6,0.25,1.8,0.002225245799999698,0.00032706847967513936,0.0006839686000001066,0.00037287060089634524,3.253432686821224,0.09599032253026962
4,16384,6,0.5,2.55,0.002225245799999698,0.00032706847967513936,0.0009062085000000941,0.0003752646928041492,2.4555560889127244,0.09599032253026962
4,16384,6,0.75,4.4,0.002225245799999698,0.00032706847967513936,0.0015661580000001507,0.0004063288943765276,1.420830976184704,0.09599032253026962
4,16384,6,1.0,6.0,0.002225245799999698,0.00032706847967513936,0.0021801937499999367,0.0003049129219702586,1.0206642414233884,0.09599032253026962
8,32768,28,0.1,2.65,0.017756283249999873,0.0009035567364566077,0.001657420899999895,0.00112830537127135,10.713201004042483,0.11051174253225327
8,32768,28,0.25,6.4,0.017756283249999873,0.0009035567364566077,0.004012731249999746,0.0014537272149324485,4.424986908854411,0.11051174253225327
8,32768,28,0.5,12.75,0.017756283249999873,0.0009035567364566077,0.008144383399999811,0.00161034088641078,2.1801875449527937,0.11051174253225327
8,32768,28,0.75,20.3,0.017756283249999873,0.0009035567364566077,0.013098341649999767,0.0015135760862695258,1.355613078698416,0.11051174253225327
8,32768,28,1.0,28.0,0.017756283249999873,0.0009035567364566077,0.018090581199999976,0.0007108422881775676,0.9815208839172008,0.11051174253225327
16,65536,120,0.1,11.8,0.10513075844999964,0.002910305180291857,0.010021235449999999,0.0028713583674884915,10.490798163014885,0.10729344934225082
16,65536,120,0.25,31.4,0.10513075844999964,0.002910305180291857,0.02676238329999947,0.00420916981754696,3.928303293152584,0.10729344934225082
16,65536,120,0.5,59.8,0.10513075844999964,0.002910305180291857,0.05241086450000036,0.0039031949328429145,2.0058962860648655,0.10729344934225082
16,65536,120,0.75,90.15,0.10513075844999964,0.002910305180291857,0.0786300417999998,0.005608517221620443,1.3370304281079488,0.10729344934225082
16,65536,120,1.0,120.0,0.10513075844999964,0.002910305180291857,0.10283406264999986,0.0018873386969619917,1.0223339984905262,0.10729344934225082
