n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source
50,6,uniform,1631,150,1225,0.12244897959183673,0.0046265386044979095,0.0046617332845926285,0.9924503016483075,1.0076071298876665,3.519468009471893e-05,0.12244897959183673,98.0,12.0,3.8198643028481514,0.681677974762654,12,True,6.6332495807108,149.1349518939387,18.308987509226426,synthetic
50,6,uniform,11631,150,1225,0.12244897959183673,0.0046265386044979095,0.004641303326934576,0.996818841304557,1.0031913107614217,1.4764722436666489e-05,0.12244897959183673,98.0,12.0,4.058775574056384,0.661768702161968,12,True,6.6332495807108,149.61702600121498,18.2878763996996,synthetic
50,6,uniform,21631,150,1225,0.12244897959183673,0.0046265386044979095,0.004617907572537661,1.0018690352339612,0.9981344515418378,8.631031960248947e-06,0.12244897959183673,98.0,12.0,3.9641628301060465,0.6696530974911628,12,True,6.6332495807108,148.97179340478033,18.42198289814405,synthetic
50,6,uniform,31631,150,1225,0.12244897959183673,0.0046265386044979095,0.004607299342751503,1.004175821954498,0.9958415430214498,1.9239261746406555e-05,0.12244897959183673,97.99999999999999,11.999999999999998,4.516324935584498,0.5483675064415502,10,True,6.0,149.31587669998407,18.276192602934316,synthetic
50,6,uniform,41631,150,1225,0.12244897959183673,0.0046265386044979095,0.004668806213885546,0.9909468057890414,1.009135903317989,4.2267609387636185e-05,0.12244897959183673,63.68888888888889,7.798639455782314,4.317040227940551,0.60754179745995,11,True,6.324555320336759,149.1796492075082,18.323843099642545,synthetic
50,6,knn,1475,188,1225,0.15346938775510205,0.0046265386044979095,0.0046273223124444485,0.9998306346751703,1.000169394014302,7.837079465389252e-07,0.15346938775510205,241.5418354158047,37.06927759850717,7.274059946399129,0.27259400536008704,10,False,6.0,148.78473929711618,23.052949598059058,synthetic
50,6,knn,11475,188,1225,0.15346938775510205,0.0046265386044979095,0.0046273223124444485,0.9998306346751703,1.000169394014302,7.837079465389252e-07,0.15346938775510205,241.5418354158047,37.06927759850717,7.274059946399129,0.27259400536008704,10,False,6.0,148.3200386108365,23.014752491144463,synthetic
50,6,knn,21475,188,1225,0.15346938775510205,0.0046265386044979095,0.0046273223124444485,0.9998306346751703,1.000169394014302,7.837079465389252e-07,0.15346938775510205,241.5418354158047,37.06927759850717,7.274059946399129,0.27259400536008704,10,False,6.0,148.24320070329122,23.035399802029133,synthetic
50,6,knn,31475,188,1225,0.15346938775510205,0.0046265386044979095,0.0046273223124444485,0.9998306346751703,1.000169394014302,7.837079465389252e-07,0.15346938775510205,241.5418354158047,37.06927759850717,7.274059946399129,0.27259400536008704,10,False,6.0,148.4942838025745,23.020430997712538,synthetic
50,6,knn,41475,188,1225,0.15346938775510205,0.0046265386044979095,0.0046273223124444485,0.9998306346751703,1.000169394014302,7.837079465389252e-07,0.15346938775510205,241.5418354158047,37.06927759850717,7.274059946399129,0.27259400536008704,10,False,6.0,148.71951579698361,23.135889013065025,synthetic
50,12,random_regular,1558,300,1225,0.24489795918367346,0.0046265386044979095,0.004626828245818615,0.9999373995952914,1.0000626043237646,2.896413207054138e-07,0.24489795918367346,22.294455713319806,5.45986670530281,5.544155753126379,0.5379870205728017,12,True,6.6332495807108,148.9426129963249,36.44864099333063,synthetic
50,12,random_regular,11558,300,1225,0.24489795918367346,0.0046265386044979095,0.004627925343811512,0.9997003540008577,1.0002997358137797,1.3867393136024475e-06,0.24489795918367346,22.138902062177927,5.421771933594594,5.0995259351428786,0.5750395054047601,12,True,6.6332495807108,148.71281580417417,36.463910702150315,synthetic
50,12,random_regular,21558,300,1225,0.24489795918367346,0.0046265386044979095,0.004626935813575983,0.9999141528877691,1.0000858544825904,3.972090780735016e-07,0.24489795918367346,25.587818421870146,6.266404511478403,5.455439895969565,0.5453800086692029,12,True,6.6332495807108,148.93573109875433,36.44503939431161,synthetic
50,12,random_regular,31558,300,1225,0.24489795918367346,0.0046265386044979095,0.004626764450222254,0.9999511871142839,1.0000488152685303,2.2584572434425354e-07,0.24489795918367346,24.327092162196525,5.957655223395068,5.270840871586664,0.5607632607011113,12,True,6.6332495807108,149.15420489851385,36.50065989349969,synthetic
50,12,random_regular,41558,300,1225,0.24489795918367346,0.0046265386044979095,0.004626457579433918,1.0000175134133622,0.999982486893352,8.102506399154663e-08,0.24489795918367346,23.564074898034846,5.770793852579962,5.52687586720061,0.5394270110666157,12,True,6.6332495807108,148.70224290061742,36.395673506194726,synthetic
50,12,bernoulli,1373,287,1225,0.2342857142857143,0.0046265386044979095,0.0046126749366521835,1.0030055592549056,0.9970034470625085,1.3863667845726013e-05,0.2342857142857143,41.21423195540843,9.655905772409975,4.900566665410688,0.7117313726229006,17,True,8.0,148.73780810157768,34.857513912720606,synthetic
50,12,bernoulli,11373,279,1225,0.22775510204081634,0.0046265386044979095,0.004649175330996513,0.9951310232703674,1.0048927996573067,2.263672649860382e-05,0.22775510204081634,56.04999999999998,12.765673469387751,5.405256527726141,0.6621714670171162,16,True,7.745966692414834,148.5114781127777,33.81887110299431,synthetic
50,12,bernoulli,21373,271,1225,0.22122448979591836,0.0046265386044979095,0.004622162785381079,1.0009467038094526,0.9990541915909711,4.375819116830826e-06,0.22122448979591836,28.41875966972023,6.286925608566679,5.20282098272236,0.6939517068986847,17,True,8.0,147.9939520941116,32.788624201202765,synthetic
50,12,bernoulli,31373,300,1225,0.24489795918367346,0.0046265386044979095,0.0046304138377308846,0.9991630913847489,1.0008376096179565,3.875233232975006e-06,0.24489795918367346,24.310365198271704,5.95355882406654,5.041800080532697,0.7346421010245949,19,True,8.48528137423857,148.06962470174767,36.20604989118874,synthetic
50,12,bernoulli,41373,308,1225,0.25142857142857145,0.0046265386044979095,0.004664887208491564,0.991779307348772,1.0082888325964408,3.834860399365425e-05,0.25142857142857145,25.307486025607083,6.363025057866924,4.885069634481906,0.7557465182759047,20,True,8.717797887081348,148.0087044998072,37.13822439312935,synthetic
50,12,uniform,2231,300,1225,0.24489795918367346,0.0046265386044979095,0.004629859235137701,0.9992827793522122,1.0007177354224523,3.3206306397914886e-06,0.24489795918367346,23.64275539275539,5.790062545164585,5.258380766331263,0.7078677352038187,18,True,8.246211251235321,148.28729311120696,36.402061505941674,synthetic
50,12,uniform,12231,300,1225,0.24489795918367346,0.0046265386044979095,0.004626808222383261,0.9999417270238159,1.0000582763721217,2.6961788535118103e-07,0.24489795918367346,26.621654896697336,6.5195889542932255,5.430231609952834,0.7141983363182719,19,True,8.48528137423857,149.193406914128,37.024996703257784,synthetic
50,12,uniform,22231,300,1225,0.24489795918367346,0.0046265386044979095,0.004642609041184187,0.9965384902015832,1.0034735334685534,1.607043668627739e-05,0.24489795918367346,25.483498086121774,6.240856674152272,5.230581437081296,0.7094121423843724,18,True,8.246211251235321,150.48562231240794,36.84556899825111,synthetic
50,12,uniform,32231,300,1225,0.24489795918367346,0.0046265386044979095,0.00463453121483326,0.9982754220513675,1.0017275572557807,7.992610335350037e-06,0.24489795918367346,23.563072860269656,5.770548455576242,5.197128693876293,0.7264669108486161,19,True,8.48528137423857,150.45735960593447,36.782853101613,synthetic
50,12,uniform,42231,300,1225,0.24489795918367346,0.0046265386044979095,0.00459907716140151,1.0059710768340384,0.9940643652968331,2.7461443096399307e-05,0.24489795918367346,28.081850138258805,6.877187788961339,5.104816989838396,0.7163990561200891,18,True,8.246211251235321,150.40539090405218,36.75934841739945,synthetic
50,12,knn,2075,381,1225,0.3110204081632653,0.0046265386044979095,0.004620157647877932,1.0013811123139724,0.9986207925264529,6.380956619977951e-06,0.3110204081632653,76.96726274765489,23.93838947498491,12.91934971107515,0.4382891429967326,23,False,9.38083151964686,150.19177579670213,46.79266179446131,synthetic
